listing_id,room_type,latitude,longitude,host_type,host_id,host_name,,
35532648,Private room,40.75198,-73.96978,primary,262985820,48Lex,,
47181087,Private room,40.67576,-73.94518,co,413432955,George,,
51154314,Private room,40.81082,-73.94275,co,521447784,Mina,,
43997163,Private room,40.63873,-73.90962,co,437029084,Carol,,
9.85E+17,Private room,40.7053973,-73.8984818,primary,231138233,Filiz,,
9.70E+17,Entire home/apt,40.75198014,-73.96685508,primary,518583595,Mova,,
52102524,Entire home/apt,40.73959,-74.00002,primary,113723310,MyNyHousing,,
7.67E+17,Private room,40.75978,-73.99475,primary,401277068,Yotel New York,,
50051141,Private room,40.63282,-74.11378,primary,32060911,Ervis,,
9.68E+17,Private room,40.68387994,-73.91001858,co,339848823,Nyc,,
47883677,Private room,40.7449,-73.87148,primary,204704622,Momoyo,,
49107351,Private room,40.7378,-73.92648,primary,390535864,Fukuda,,
53261632,Private room,40.76469,-73.87781,co,156948703,Asad,,
1.03E+18,Private room,40.75638777,-73.97014847,primary,501999514,RoomPicks,,
6.89E+17,Private room,40.66792,-73.81745,primary,435050037,Abdo,,
6.71E+17,Private room,40.68886,-73.87038,co,25537142,Jerome,,
36906763,Private room,40.74482,-73.9066,co,227070045,Sachiko,,
44376319,Private room,40.67658,-73.95593,primary,345709132,Patrice,,
7.67E+17,Private room,40.7461629,-73.8887556,co,340102104,Kayo,,
26837834,Private room,40.80521,-73.95026,co,1550578,Ron,,
38198444,Private room,40.7426,-73.89321,co,498467246,Aiko,,
7.26E+17,Private room,40.74715,-73.98755,primary,25138314,RoomPicks By Antony,,
37665665,Private room,40.74931,-73.89993,co,366180586,Al,,
1.03E+18,Entire home/apt,40.7693,-73.83182,primary,512834300,Jian Kun,,
27686998,Private room,40.74138,-73.8921,co,366180586,Al,,
6.93E+17,Private room,40.67519,-73.94258,co,413432955,George,,
33917958,Private room,40.74468,-73.90807,co,227070045,Sachiko,,
7.01E+17,Private room,40.69032,-73.91209,co,289158534,Max,,
9.80E+17,Private room,40.74269101,-73.89366796,primary,204704622,Momoyo,,
1.01E+18,Private room,40.86778661,-73.89009112,co,477231369,Christyn,,
6.97E+17,Private room,40.76506,-73.99038,primary,406193264,Manuel,,
26690336,Private room,40.73696,-73.9205,co,498467246,Aiko,,
9.89E+17,Private room,40.76366144,-73.82537971,co,217037939,Kevin,,
8.95E+17,Private room,40.70853,-74.01473,primary,215565541,LuxUrban,,
7.67E+17,Private room,40.74901,-73.97704,primary,174792040,RoomPicks By Victoria,,
53628255,Private room,40.74506,-73.87228,primary,200239515,Shogo,,
6.23E+17,Private room,40.65688,-73.91109,co,441463564,Jahid,,
53476790,Entire home/apt,40.71595,-73.94236,primary,5278391,Ash,,
38703932,Private room,40.73902,-73.99858,primary,279648327,Sinan,,
